19_2_0,53_3_1
19_2_1,53_3_2
37_3_19,53_3_1
37_3_20,53_3_2
5_1_1969,53_3_0
27_1_322,53_3_4
27_1_1927,53_3_5
27_1_13769,53_3_6
50_1_289,53_3_1
50_1_942,53_3_2
50_1_7460,53_3_3
6_2_289,53_3_1
6_2_942,53_3_2
6_2_7460,53_3_3
32_3_115,53_3_9
32_3_115,53_3_29
32_3_115,53_3_42
42_3_12,53_3_8
42_3_12,53_3_16
42_3_12,53_3_25
42_3_12,53_3_38
42_3_12,53_3_40
42_3_12,53_3_47
42_3_12,53_3_73
42_3_12,53_3_87
42_3_12,53_3_114
42_3_12,53_3_117
42_3_5390,53_3_11
42_3_5390,53_3_21
42_3_5390,53_3_30
42_3_5390,53_3_32
42_3_5390,53_3_33
42_3_5390,53_3_65
42_3_5390,53_3_66
42_3_5390,53_3_79
42_3_5390,53_3_82
42_3_5390,53_3_95
42_3_5390,53_3_105
42_3_16034,53_3_15
42_3_16034,53_3_39
42_3_16034,53_3_41
42_3_16034,53_3_46
42_3_16034,53_3_49
42_3_16034,53_3_64
42_3_16034,53_3_74
42_3_16034,53_3_78
42_3_16034,53_3_88
42_3_16034,53_3_91
42_3_16034,53_3_93
42_3_16034,53_3_94
42_3_16034,53_3_108
42_3_16034,53_3_111
42_3_16034,53_3_113
42_3_16034,53_3_118
42_3_16034,53_3_119
42_3_16034,53_3_121
42_3_16034,53_3_155
42_3_16034,53_3_164
42_3_16034,53_3_177
42_3_16034,53_3_187
42_3_16034,53_3_189
42_3_16034,53_3_191
42_3_16034,53_3_210
42_3_16034,53_3_216
42_3_16034,53_3_218
42_3_16034,53_3_225
42_3_16034,53_3_237
42_3_16034,53_3_244
42_3_16034,53_3_280
42_3_16034,53_3_283
42_3_16034,53_3_287
42_3_34002,53_3_35
42_3_34002,53_3_43
42_3_34002,53_3_76
42_3_34002,53_3_81
42_3_34002,53_3_84
42_3_34002,53_3_86
42_3_34002,53_3_92
42_3_34002,53_3_97
42_3_34002,53_3_98
42_3_34002,53_3_99
42_3_34002,53_3_101
42_3_34002,53_3_103
42_3_34002,53_3_107
42_3_34002,53_3_109
42_3_34002,53_3_116
42_3_34002,53_3_120
42_3_34002,53_3_154
42_3_34002,53_3_156
42_3_34002,53_3_157
42_3_34002,53_3_160
42_3_34002,53_3_169
42_3_34002,53_3_171
42_3_34002,53_3_173
42_3_34002,53_3_175
42_3_34002,53_3_176
42_3_34002,53_3_184
42_3_34002,53_3_185
42_3_34002,53_3_186
42_3_34002,53_3_188
42_3_34002,53_3_190
42_3_34002,53_3_192
42_3_34002,53_3_194
42_3_34002,53_3_196
42_3_34002,53_3_198
42_3_34002,53_3_199
42_3_34002,53_3_200
42_3_34002,53_3_201
42_3_34002,53_3_202
42_3_34002,53_3_203
42_3_34002,53_3_206
42_3_34002,53_3_207
42_3_34002,53_3_208
42_3_34002,53_3_212
42_3_34002,53_3_214
42_3_34002,53_3_217
42_3_34002,53_3_219
42_3_34002,53_3_220
42_3_34002,53_3_221
42_3_34002,53_3_224
42_3_34002,53_3_226
42_3_34002,53_3_231
42_3_34002,53_3_233
42_3_34002,53_3_236
42_3_34002,53_3_239
42_3_34002,53_3_240
42_3_34002,53_3_241
42_3_34002,53_3_243
42_3_34002,53_3_245
42_3_34002,53_3_267
42_3_34002,53_3_269
42_3_34002,53_3_278
42_3_34002,53_3_279
42_3_34002,53_3_281
42_3_34002,53_3_282
42_3_34002,53_3_284
42_3_34002,53_3_285
42_3_34002,53_3_286
42_3_34002,53_3_294
42_3_34002,53_3_295
42_3_34002,53_3_296
42_3_34002,53_3_297
42_3_34002,53_3_298
42_3_34002,53_3_299
42_3_34002,53_3_300
42_3_34002,53_3_301
42_3_34002,53_3_302
42_3_34002,53_3_304
42_3_34002,53_3_306
42_3_34002,53_3_309
42_3_34002,53_3_310
42_3_34002,53_3_311
42_3_34002,53_3_312
42_3_34002,53_3_313
42_3_34002,53_3_314
42_3_34002,53_3_315
42_3_34002,53_3_318
42_3_34002,53_3_319
42_3_34002,53_3_322
42_3_34002,53_3_330
42_3_34002,53_3_331
42_3_34002,53_3_332
42_3_34002,53_3_333
42_3_34003,53_3_19
42_3_34003,53_3_34
42_3_34003,53_3_36
42_3_34003,53_3_44
42_3_34003,53_3_45
42_3_34003,53_3_48
42_3_34003,53_3_72
42_3_34003,53_3_80
42_3_34003,53_3_83
42_3_34003,53_3_85
42_3_34003,53_3_96
42_3_34003,53_3_100
42_3_34003,53_3_104
42_3_34003,53_3_106
42_3_34003,53_3_110
42_3_34003,53_3_115
42_3_34003,53_3_124
42_3_34003,53_3_138
42_3_34003,53_3_150
42_3_34003,53_3_151
42_3_34003,53_3_152
42_3_34003,53_3_153
42_3_34003,53_3_158
42_3_34003,53_3_162
42_3_34003,53_3_168
42_3_34003,53_3_170
42_3_34003,53_3_172
42_3_34003,53_3_174
42_3_34003,53_3_195
42_3_34003,53_3_204
42_3_34003,53_3_205
42_3_34003,53_3_213
42_3_34003,53_3_222
42_3_34003,53_3_223
42_3_34003,53_3_230
42_3_34003,53_3_232
42_3_34003,53_3_238
42_3_34003,53_3_242
52_3_322,53_3_4
52_3_322,53_3_12
52_3_322,53_3_31
52_3_322,53_3_37
52_3_1927,53_3_5
52_3_1927,53_3_13
52_3_13769,53_3_6
52_3_13769,53_3_10
74_2_289,53_3_1
74_2_942,53_3_2
20_3_0,53_3_35
20_3_0,53_3_43
20_3_0,53_3_76
20_3_0,53_3_81
20_3_0,53_3_84
20_3_0,53_3_86
20_3_0,53_3_92
20_3_0,53_3_97
20_3_0,53_3_98
20_3_0,53_3_99
20_3_0,53_3_101
20_3_0,53_3_103
20_3_0,53_3_107
20_3_0,53_3_109
20_3_0,53_3_116
20_3_0,53_3_120
20_3_0,53_3_154
20_3_0,53_3_156
20_3_0,53_3_157
20_3_0,53_3_160
20_3_0,53_3_169
20_3_0,53_3_171
20_3_0,53_3_173
20_3_0,53_3_175
20_3_0,53_3_176
20_3_0,53_3_184
20_3_0,53_3_185
20_3_0,53_3_186
20_3_0,53_3_188
20_3_0,53_3_190
20_3_0,53_3_192
20_3_0,53_3_194
20_3_0,53_3_196
20_3_0,53_3_198
20_3_0,53_3_199
20_3_0,53_3_200
20_3_0,53_3_201
20_3_0,53_3_202
20_3_0,53_3_203
20_3_0,53_3_206
20_3_0,53_3_207
20_3_0,53_3_208
20_3_0,53_3_212
20_3_0,53_3_214
20_3_0,53_3_217
20_3_0,53_3_219
20_3_0,53_3_220
20_3_0,53_3_221
20_3_0,53_3_224
20_3_0,53_3_226
20_3_0,53_3_231
20_3_0,53_3_233
20_3_0,53_3_236
20_3_0,53_3_239
20_3_0,53_3_240
20_3_0,53_3_241
20_3_0,53_3_243
20_3_0,53_3_245
20_3_0,53_3_260
20_3_0,53_3_261
20_3_0,53_3_263
20_3_0,53_3_264
20_3_0,53_3_266
20_3_0,53_3_267
20_3_0,53_3_268
20_3_0,53_3_269
20_3_0,53_3_270
20_3_0,53_3_278
20_3_0,53_3_279
20_3_0,53_3_281
20_3_0,53_3_282
20_3_0,53_3_284
20_3_0,53_3_285
20_3_0,53_3_286
20_3_0,53_3_294
20_3_0,53_3_295
20_3_0,53_3_296
20_3_0,53_3_297
20_3_0,53_3_298
20_3_0,53_3_299
20_3_0,53_3_300
20_3_0,53_3_301
20_3_0,53_3_302
20_3_0,53_3_304
20_3_0,53_3_306
20_3_0,53_3_309
20_3_0,53_3_310
20_3_0,53_3_311
20_3_0,53_3_312
20_3_0,53_3_313
20_3_0,53_3_314
20_3_0,53_3_315
20_3_0,53_3_318
20_3_0,53_3_319
20_3_0,53_3_320
20_3_0,53_3_324
20_3_0,53_3_330
20_3_0,53_3_331
20_3_0,53_3_332
20_3_0,53_3_333
20_3_0,53_3_338
20_3_0,53_3_342
20_3_1,53_3_9
20_3_1,53_3_29
20_3_1,53_3_42
20_3_2,53_3_15
20_3_2,53_3_39
20_3_2,53_3_41
20_3_2,53_3_46
20_3_2,53_3_49
20_3_2,53_3_64
20_3_2,53_3_74
20_3_2,53_3_78
20_3_2,53_3_88
20_3_2,53_3_91
20_3_2,53_3_93
20_3_2,53_3_94
20_3_2,53_3_108
20_3_2,53_3_111
20_3_2,53_3_113
20_3_2,53_3_118
20_3_2,53_3_119
20_3_2,53_3_121
20_3_2,53_3_155
20_3_2,53_3_164
20_3_2,53_3_177
20_3_2,53_3_187
20_3_2,53_3_189
20_3_2,53_3_191
20_3_2,53_3_210
20_3_2,53_3_216
20_3_2,53_3_218
20_3_2,53_3_225
20_3_2,53_3_237
20_3_2,53_3_244
20_3_2,53_3_262
20_3_2,53_3_265
20_3_2,53_3_271
20_3_2,53_3_280
20_3_2,53_3_283
20_3_2,53_3_287
20_3_2,53_3_339
20_3_2,53_3_343
37_3_0,53_3_43
37_3_0,53_3_97
37_3_0,53_3_98
37_3_0,53_3_99
37_3_0,53_3_101
37_3_0,53_3_103
37_3_0,53_3_109
37_3_0,53_3_192
37_3_0,53_3_194
37_3_0,53_3_196
37_3_0,53_3_198
37_3_0,53_3_199
37_3_0,53_3_200
37_3_0,53_3_201
37_3_0,53_3_202
37_3_0,53_3_203
37_3_0,53_3_206
37_3_0,53_3_207
37_3_0,53_3_208
37_3_0,53_3_219
37_3_0,53_3_220
37_3_0,53_3_221
37_3_0,53_3_302
37_3_0,53_3_304
